ISIN;nom;ticker
FR0000130338;Valeo;FR
FR0000130395;Remy Cointreau;RCO
FR0000130403;Christian Dior;CDI
FR0000130452;Eiffage;FGR
FR0000130577;Publicis Groupe;PUB
FR0000130650;Dassault Systemes;DSY
FR0000130809;Societe Generale;GLE
FR0000131104;Bnp Paribas;BNP
FR0000131708;Technip;TEC
FR0000131757;Eramet;ERA
FR0000131906;Renault;RNO
FR0000133308;Orange;ORA
FR0000184798;Orpea;ORP
FR0004035913;Iliad;ILD
FR0004188670;Tarkett;TKTT
FR0004254035;Euler Hermes Group;ELE
FR0004548873;Bourbon;GBB
FR0005025004;Cic Cat.A;CC
FR0006174348;Bureau Veritas;BVI
FR0010040865;Gecina Nom.;GFC
FR0010096479;Biomerieux;BIM
FR0010112524;Nexity;NXI
FR0010208488;GDF Suez;GSZ
FR0010220475;Alstom;ALO
FR0010221234;Eutelsat Com.;ETL
FR0010241638;Mercialys;MERY
FR0010242511;EDF;EDF
FR0010259150;Ipsen;IPN
FR0010307819;Legrand SA;LR
FR0010313833;Arkema;AKE
FR0010340141;Adp;ADP
FR0010411983;Scor;SCR
FR0010451203;Rexel;RXL
FR0010533075;Groupe Eurotunnel;GET
FR0010613471;Suez Environnement;SEV
FR0010908533;Edenred;EDEN
FR0010918292;Technicolor;TCH
FR0011027143;Areva;AREVA
FR0011594233;Numericable;NUM
GA0000121459;Total Gabon;EC
GB0005405286;Hsbc Holdings;HSB
LU0088087324;SES Sa;SESG
NL0000226223;Stmicroelectronics;STM
NL0000235190;Airbus Group;AIR
US3696041033;General Electric;GNE
CH0038838394;Weatherford;WFT
GB0002374006;Diageo;DGE
GB0005405286;Hsbc Holdings;HSB
GB0033040113;Darty;DRTY
MA0000011488;Maroc Telecom;IAM
US0495131049;Atmel Corp.;AML
US1491231015;Caterpillar Inc;CATR
US18683K1016;Cliffs Natural Resources;CLF
US19122T1097;Coca-Cola Enterprises;CCE
US2605431038;Dow Chemical;DOWCP
US2635341090;Du Pont De Nemours;DUPP
US3453708600;Ford Motor;FORDP
US3696041033;General Electric;GNE
US4282911084;Hexcel Corp.;HXL
US4509111021;ITT Corporation;ITT
US7181721090;Philip Morris Intl;PM
US7427181091;Procter Gamble;PGP
US9098832093;GDS Rusal;RUSAL
US9426222009;Watsco;WSO
ZAE000043485;Anglogold Ashanti;VA
BE0003470755;Solvay;SOLB
BE0003678894;Befimmo-Sicafi;BEFB
BE0003796134;Dexia;DEXB
IT0001210050;Giorgo Fedon;FED
IT0001389631;Beni Stabili;BNS
IT0001976403;Fiat Spa Ord.Rgp;FSOR
LU0088087324;SES Sa;SESG
LU0569974404;Aperam;APAM
NL0000289783;Robeco;ROBP
NL0000289817;Rolinco;ROLP
BE0160342011;Coil;ALCOI
BE0974267966;Medical Device Works;ALMDW
CA4433001084;H20 Innovation Inc.;ALHEO
ES0109429037;Antevenio;ALANT
ES0158252033;Lets Gowex;ALGOW
FR0000033888;Gevelot;ALGEV
FR0000035305;Bd Multi Media;ALBDM
FR0000035818;Esker;ALESK
FR0000037640;Rougier S.A.;ALRGR
FR0000044752;Adomos;ALADO
FR0000044810;Europlasma;ALEUP
FR0000044943;Logic Instrument;ALLOG
FR0000045122;Entreprendre;ALENR
FR0000051831;Groupe Guillin;ALGIL
FR0000052904;Kindy;KIND
FR0000053076;Ada;ALADA
FR0000054132;Delfingen;ALDEL
FR0000054421;Bricorama;ALBRI
FR0000054629;Cofidur;ALCOF
FR0000054652;Ales Groupe;ALPHY
FR0000061582;Siparex Croissance;ALSIP
FR0000061608;Piscines Desjoyaux;ALPDX
FR0000062184;Idsud;ALIDS
FR0000063653;Sical;ALSIC
FR0000066441;Poujoulat;ALPJT
FR0000066961;Bernard Loiseau;ALBDL
FR0000071763;TR Services;ALTRS
FR0000072993;Makheia Group;ALMAK
FR0000073728;Serma Technologies;ALSER
FR0000074775;Stradim Espac.Fin.;ALSAS
FR0000077562;Hiolle Industries;ALHIO
FR0000078875;Richel Serres Fra.;ALRIC
FR0000079683;Netbooster;ALNBT
FR0000185423;Damartex;ALDAR
FR0000185621;Keyyo;ALKEY
FR0004022754;Dolphin Integrat.;ALDOL
FR0004029478;Visiativ;ALVIV
FR0004032746;Neovacs;ALNEV
FR0004034593;Fashion B Air;ALFBA
FR0004042232;Cerep;ALCER
FR0004043487;Traqueur;ALTRA
FR0004045847;Voyageurs du monde;ALVDM
FR0004053510;Genoway;ALGEN
FR0004054427;Diaxonhit;ALEHT
FR0004058949;Microwave Vision;ALMIC
FR0004060234;Global Investment;ALGIS
FR0004060671;Iscool Entertainment;ALISC
FR0004065639;Nse Industries;ALNSE
FR0004152882;Clasquin;ALCLA
FR0004153930;Hybrigenics;ALHYG
FR0004155240;Vergnet;ALVER
FR0004155687;Mastrad;ALMAS
FR0004157428;Octo Technology;ALOCT
FR0004166197;Evolis;ALTVO
FR0004168243;Heracles NR;HERNR
FR0004171346;Nextedia;ALNXT
FR0004172450;Budget Telecom;ALBUD
FR0004174233;Bilendi;ALBLD
FR0004176535;Astellia;ALAST
FR0004178572;Medicrea;ALMED
FR0004187367;Freelance.com;ALFRE
FR0004191674;Direct Energie;ALDIR
FR0004197747;Theradiag;ALTER
FR0004500106;Solving Efeso International;ALOLV
FR0005854700;I2S;ALI2S
FR0007080254;Les Hotels Baverez;ALLHB
FR0010082305;Ivalis;ALIVA
FR0010120402;Theraclion;ALTHE
FR0010146092;Leguide.com;ALGUI
FR0010173518;Sts Group;ALSTS
FR0010202606;Sidetrade;ALBFR
FR0010204453;MG International;ALMGI
FR0010207795;Harvest;ALHVS
FR0010212480;Techniline;ALTEC
FR0010213215;Sporever;ALSPO
FR0010221069;Notrefamille.com;ALNFA
FR0010231860;O2i;ALODI
FR0010232306;Relaxnews;ALRLX
FR0010245803;Velcan;ALVEL
FR0010246322;Easyvista;ALEZV
FR0010254466;Promeo (Groupe);ALMEO
FR0010263335;Solutions 30;ALS30
FR0010278762;Environnement SA;ALTEV
FR0010285965;1000Mercis;ALMIL
FR0010294462;Bionersis;ALBRS
FR0010304402;Millet Innovation;ALINN
FR0010307322;Homair Vacances;ALHOM
FR0010313486;Prodware;ALPRO
FR0010330613;Ober;ALOBR
FR0010337444;Weborama;ALWEB
FR0010337865;Vdi Group;ALVDI
FR0010340711;Aquila;ALAQU
FR0010342329;Gaussin;ALGAU
FR0010343186;Heurtey Petrochem;ALHPC
FR0010353888;MGI Digital Graphic;ALMDG
FR0010355057;Prowebce;ALPRW
FR0010357079;DL Software;ALSDL
FR0010357145;Piscines Groupe Ga;ALPGG
FR0010358465;CRM Company Group;ALCRM
FR0010377127;Dietswell Engineering;ALDIE
FR0010383877;Travel Technology Interac.;ALTTI
FR0010395681;Turenne Investissement;ALTUR
FR0010396309;Hitechpros;ALHIT
FR0010397232;Novacyt;ALNOV
FR0010397760;Auplata;ALAUP
FR0010397901;Trilogiq;ALTRI
FR0010404368;Dlsi;ALDLS
FR0010414961;Nexeya;ALNEX
FR0010424697;Entreparticuliers.com;ALENT
FR0010425595;Cellectis;ALCLS
FR0010446765;HolosFind;ALHOL
FR0010449199;Geci Aviation;ALRAI
FR0010452474;Eurogerm;ALGEM
FR0010457531;Adthink Media;ALADM
FR0010465534;Eo2;ALEO2
FR0010474130;Demos;ALDMO
FR0010485268;Fountaine Pajot;ALFPC
FR0010490961;Groupimo;ALIMO
FR0010493510;Acheter-Louer;ALALO
FR0010501015;Orolia;ALORO
FR0010523167;Roctool;ALROC
FR0010528059;Streamwide;ALSTW
FR0010540997;Cesar;ALCES
FR0010554113;Monceau Fleurs;ALMFL
FR0010567032;Acces Industrie;ALACI
FR0010581363;Login People;ALLP
FR0010626028;Qiagen Marseille;ALIPS
FR0010641449;AgroGeneration;ALAGR
FR0010654087;Txcom;ALTXC
FR0010678284;Acropolis Telecom;ALACR
FR0010688440;Wedia;ALWED
FR0010757377;Solabios;ALSOA
FR0010776617;Sapmer;ALMER
FR0010795476;A2micile Europe;ALA2M
FR0010812230;Mobile Network Group;ALMNG
FR0010820274;Reworld Media;ALREW
FR0010879056;Deinove;ALDEI
FR0010889386;Custom Solutions;ALSOL
FR0010907956;Carmat;ALCAR
FR0010908723;Integragen;ALINT
FR0010949388;Umanis;ALUMS
FR0011001742;Groupe Jemini;ALJEM
FR0011005933;Biosynex;ALBIO
FR0011033083;Moulinvest;ALMOU
FR0011038348;Concoursmania;ALGCM
FR0011041011;Bluelinea;ALBLUE
FR0011049824;Median Technologies;ALMDT
FR0011052257;Global Bioenergies;ALGBE
FR0011053636;Makazi Group;ALMKZ
FR0011065242;Phenix Systems;ALPHX
FR0011066885;Innoveox;ALIOX
FR0011067669;Visiomed;ALVMG
FR0011068766;Tuto4pc;ALTUT
FR0011070457;Ucar;ALUCR
FR0011071570;Cogra 48;ALCOG
FR0011072602;Vexim;ALVXM
FR0011179886;Intrasense;ALINS
FR0011208693;Gold by Gold;ALGLD
FR0011217710;Methanor;ALMET
FR0011289198;Global Ecopower;ALGEP
FR0011398874;Spineway;ALSPW
FR0011442128;Heracles;ALHER
FR0011464452;Spineguard;ALSGD
FR0011522168;Delta Drone;ALDR
FR0011648716;Carbios;ALCRB
FR0011648971;Quantum Genomics;ALQGC
FR0011665280;Figeac Aero;ALFIG
FR0011716265;Crossject;ALCJ
FR0011766229;Oncodesign;ALONC
FR0011858190;Realites;ALREA
FR0011910652;Anevia;ALANV
GB00B2R1Q018;Ospreyfranck;ALOSP
LU0379220212;CNPV Solar Power;ALCNP
BE0003796134;Dexia;DEXB
CH0008853209;Agta Record;AGTA
CM0000035113;Brasserie Cameroun;BCAM
FR0000031023;Electricite de Strasbourg;ELEC
FR0000031684;Paris-Orleans;PAOR
FR0000032302;Manutan Intl;MAN
FR0000032526;Guerbet;GBT
FR0000032658;Synergie;SDG
FR0000033003;Touax;TOUP
FR0000033318;Sucr.Pithiviers;SPV
FR0000033904;Jacquet Metals;JCQ
FR0000034431;Foncière de Paris;FDPA
FR0000034548;Union Fin.France;UFF
FR0000034639;Altran Techn.;ALT
FR0000034894;Gaumont;GAM
FR0000035123;Finatis;FNTS
FR0000035164;Beneteau;BEN
FR0000036816;Tour Eiffel;EIFF
FR0000036857;Siph;SIPH
FR0000037210;Fonciere Massena;SOCM
FR0000037749;Vermandoise Sucr.;VERM
FR0000037947;Fimalac;FIM
FR0000038036;Marnier-Lapostolle;MALA
FR0000038200;Eurosic;ERSC
FR0000038259;Eurofins Scient.;ERF
FR0000038499;Fonciere Euris;EURS
FR0000038606;Manitou Bf;MTU
FR0000039091;Robertet;RBT
FR0000039109;Seche Environnement;SCHP
FR0000039216;Altareit;AREIT
FR0000039620;Mersen;MRN
FR0000044471;Generale De Sante;GDS
FR0000045528;Crcam Paris Et Idf;CAF
FR0000045601;Robertet Ci;CBE
FR0000045619;Robertet CDV 87;CBR
FR0000050049;Viel Et Compagnie;VIL
FR0000050353;Lisi;FII
FR0000050809;Sopra Group;SOP
FR0000051393;Idi;IDIP
FR0000052870;Norbert Dentress.;GND
FR0000052896;Chauffage Urbain;CHAU
FR0000053142;Faiveley Transport;LEY
FR0000053266;Sartorius Stedim Biotech;DIM
FR0000053324;Alpes (compagnie);CDA
FR0000053381;Derichebourg;DBG
FR0000053399;Cnim Constr.Frf 10;COM
FR0000053506;Cegedim;CGM
FR0000053829;Ldc;LOUP
FR0000053837;Altamir;LTA
FR0000054215;Unibel;UNBL
FR0000054470;Ubi Soft Entertain;UBI
FR0000054678;Euro Ressources;EUR
FR0000054694;Naturex;NRX
FR0000057937;Siic De Paris Nom.;IMMP
FR0000060071;Samse;SAMS
FR0000060303;Fonciere Des Murs;FMU
FR0000060402;Albioma;ABIO
FR0000060535;Fiducial Real Estate;ORIA
FR0000061111;Thermador Groupe;THEP
FR0000061129;Boiron;BOI
FR0000061137;Burelle;BUR
FR0000062101;Ferm.Cas.Mun.Canne;FCMC
FR0000062796;Vranken Monopole;VRAP
FR0000063091;Anf Immobilier;ANF
FR0000063935;Bonduelle;BON
FR0000064271;STEF;STF
FR0000064305;Fonciere Europe Logistique;FEL
FR0000064560;Cfcal Banque;CFCL
FR0000064784;Fonc.Fin.Particip.;FFP
FR0000065526;Banque Tarneaud;TRNO
FR0000065674;Stallergenes;GENP
FR0000066672;Gl Events;GLO
FR0000066755;Haulotte Group;PIG
FR0000071904;TFF Group;TFF
FR0000071946;Alten;ATE
FR0000072910;Steria Groupe;RIA
FR0000073041;Pierre Vacances;VAC
FR0000074148;Assystem;ASY
FR0000074783;Artprice Com;PRC
FR0000075228;Boursorama;BRS
FR0000076952;Artois Nom.;ARTO
FR0000076986;Moncey (fin.) Nom.;MONC
FR0000079600;Gameloft;GFT
FR0000120107;Bongrain;BH
FR0000120289;Guyenne Gascogne;GG
FR0000120669;Esso;ES
FR0000121568;Club Mediterranee;CU
FR0000121691;Nrj Group;NRG
FR0000124570;Plastic Omnium;POM
FR0000125460;Canal Plus;AN
FR0000182479;Archos;JXR
FR0000185514;Crcam Nord Cci;CNF
FR0004007813;Kaufman Et Broad;KOF
FR0004024222;Interparfums;ITP
FR0004025062;Soitec Silicon;SOI
FR0004027068;Lanson-BCC;LAN
FR0004037125;April;APR
FR0004038263;Parrot;PARRO
FR0004040608;Abc Arbitrage;ABCA
FR0004050250;Neurones;NRO
FR0004063097;Meetic;MEET
FR0004076891;Groupe Flo;FLO
FR0004163111;Genfit;GNFT
FR0004180537;Akka Technologies;AKA
FR0004186856;Vetoquinol;VETO
FR0004527638;Exel Industries A;EXE
FR0004529147;Tessi;TES
FR0005175080;Transgene;TNG
FR0005691656;Trigano;TRI
FR0006864484;Laurent-Perrier;LPE
FR0010096354;Solocal Group;LOCAL
FR0010112524;Nexity;NXI
FR0010204321;Entrepose Contracting;ENTC
FR0010208165;Saft;SAFT
FR0010240994;Nextradiotv;NXTV
FR0010266601;Bull;BULL
FR0010291245;Inside Secure;INSD
FR0010304329;Fonciere Paris France;FPF
FR0010309096;Cegereal;CGR
FR0010325241;Viadeo;VIAD
FR0010341032;Fonciere Inea;INEA
FR0010358812;Tesfran;TEF
FR0010372581;Medica;MDCA
FR0010386334;Korian-Medica;KORI
FR0010407049;Terreis;TER
FR0010436329;Fonciere 6 et 7;SRG
FR0010481960;Argan;ARG
FR0010483768;CRCAM Brie Pic2CCI;CRBP2
FR0010526814;SuperSonic Imagine;SSI
FR0010540740;Euro Disney;EDL
FR0010557264;Ab Science;AB
FR0010609263;Mauna Kea;MKEA
FR0010918292;Technicolor;TCH
FR0011040500;Axway Software;AXW
FR0011120914;MPI;MPI
FR0011352590;Sequana;SEQ
FR0011592104;Blue Solutions;BLUE
LU0569974404;Aperam;APAM
MC0000031187;Bains Mer Monaco;BAIN
MC0000120790;Lagardere Act.Bro.;LAGB
BE0946620946;Rentabiliweb;BIL
BMG9887P1068;ZCI Limited;CV
CH0008175645;Televerbier;TVRB
CI0000053161;Forestiere Equatoriale;FORE
FR0000030074;Malteries Fco-Bel.;MALT
FR0000030140;Sofragi;SOFR
FR0000030611;Cie Marocaine;CIEM
FR0000030827;Ige + Xao;IGE
FR0000031973;Fayenc.Sarreguemi.;FAYE
FR0000032278;Aviation Latecoere;LAT
FR0000032567;Supra;SUPR
FR0000032633;Jacques Bogart;JBOG
FR0000033243;Immob.Dassault;IMDA
FR0000033599;Lexibook Linguist.;LEX
FR0000035263;Lafuma;LAF
FR0000035370;Bastide Le Confort;BLC
FR0000035719;Electricite de Madagascar;EEM
FR0000035743;Etam Developpement;TAM
FR0000035784;Digigram;DIG
FR0000036105;Affine RE.;IML
FR0000036287;Duc;DUC
FR0000036675;Crit (Groupe);CEN
FR0000036725;Immobetelgeuse;CIMB
FR0000036774;Dane Elec Memory;DAN
FR0000037046;Montupet Sa;MON
FR0000037343;Explosifs Prod.Chi.Pf;EPCP
FR0000037392;Nergeco;NERG
FR0000037475;CFI;CFI
FR0000037970;Musee Grevin;GREV
FR0000038184;Fipp;FIPP
FR0000038242;Quantel;QUA
FR0000038465;Passat;PSAT
FR0000038531;Hf;HF
FR0000038804;Sofibus;SFBS
FR0000039026;Explosifs Prod.Chi;EXPL
FR0000039141;Orosdi;OROS
FR0000039232;Aurea;AURE
FR0000039240;Toupargel Groupe;TOU
FR0000039612;Bque De La Reunion;BQRE
FR0000039638;La Fonciere Verte;LFVE
FR0000044323;Crcam Alp.Prov.Cci;CRAP
FR0000044364;Crcam Norm.Seine;CCN
FR0000044497;Sam;SAMP
FR0000044612;Afone;AFO
FR0000045213;Crcam Ille-Vil.Cci;CIV
FR0000045239;Crcam Loire Hte L.;CRLO
FR0000045304;Crcam Touraine Cci;CRTO
FR0000045346;Crcam Sud R.A.Cci;CRSU
FR0000045544;Credit Agricole Toulouse 31;CAT31
FR0000045551;Crcam Morbihan Cci;CMO
FR0000050320;Radiall;RLL
FR0000050395;Crosswood;CROS
FR0000051377;Plastivaloire;PVL
FR0000052623;Medasys;MED
FR0000052680;Oeneo;SBT
FR0000052839;Securidev;SCDV
FR0000052854;Systar;SAR
FR0000053027;Mgi Coutier;MGIC
FR0000053035;Gea Grenobl.Elect.;GEA
FR0000053043;Advini;ADVI
FR0000053514;Produits Chim.Aux.;PCA
FR0000053548;Groupe Partouche;PARP
FR0000053944;Fonciere Volta;SPEL
FR0000054199;St Dupont;DPT
FR0000054231;High Co;HCO
FR0000054314;Lacie Group;LAC
FR0000054322;Cibox Inter A Ctiv;CIB
FR0000054686;Lvl Medical Groupe;LVL
FR0000057903;Universal Multimedia;UNM
FR0000060121;Sabeton;SABE
FR0000060196;M.R.M;MRM
FR0000060204;Docks Lyonnais;DOLY
FR0000060329;Psb Industries;PSB
FR0000060451;Installux;STAL
FR0000060790;Signaux Girod;GIRO
FR0000060824;Financière Marjos;FINM
FR0000060832;Precia;PREC
FR0000060840;Devernois;DEVR
FR0000060873;Belvedere;BVD
FR0000060907;Chausseria;CHSR
FR0000060949;Tivoly;TVLY
FR0000061087;Henri Maire;MAIR
FR0000061244;Mecelec;MCLC
FR0000061418;Fiducial Office Solutions;SACI
FR0000061459;Gerard Perrier Industrie;PERR
FR0000061475;Eurasia Fonciere Inv.;EFI
FR0000061780;Augros Cosmetics;AUGR
FR0000062150;Bleecker;BLEE
FR0000062168;Hologram Ind.;HOL
FR0000062176;Agricole Crau;AGCR
FR0000062341;Fin.Etang Berre;BERR
FR0000062465;Verneuil Particip.;VRNL
FR0000062507;Fin.Etang Berre Pf;EBPF
FR0000062671;Groupe Gorge;GOE
FR0000062721;Parsys;PSY
FR0000062788;Barbara Bui;BUI
FR0000062804;Alpha Mos;ALM
FR0000062978;Adl Partner;ALP
FR0000062994;Rodriguez Group;ROD
FR0000063018;Oxymetal;OXYM
FR0000063034;Fauvet Girel;FAUV
FR0000063224;Diagnostic Medical;DGM
FR0000063265;R-SIIC;FFBE
FR0000063307;Tayninh;TAYN
FR0000063323;Medea;MEDE
FR0000063737;Aubay;AUB
FR0000063752;Audika Groupe;ADI
FR0000063950;Etu.Reali.Moules;ERMO
FR0000064123;Baccarat;BCRA
FR0000064156;Carpinienne Part.;CARP
FR0000064164;Exacompta Clairef.;EXAC
FR0000064180;Gds Moulins Stras.;GDMS
FR0000064255;Rocamat;ROCA
FR0000064297;Innelec Multimedia;INN
FR0000064362;Fonciere Altand;FATL
FR0000064388;Tonna Electronique;TONN
FR0000064404;Media 6;EDI
FR0000064446;Catering Intl Sces;CTRG
FR0000064511;Schaeffer Dufour;SCDU
FR0000064529;Nsc Groupe;NSGP
FR0000064594;Adt S.I.I.C. NR;OXEADT
FR0000064602;Acanthe Dev.;ACAN
FR0000064917;La Perla World;PERW
FR0000064958;Intexa;ITXT
FR0000065260;Dock.Petr.Ambes Am;DPAM
FR0000065278;Public Systeme Hopscotch;PUS
FR0000065393;Courtois;COUR
FR0000065401;Alliance Dev.Cap.;ALDV
FR0000065435;Biscuits Gardeil;GARD
FR0000065450;Technofan;TNFN
FR0000065484;Lectra;LSS
FR0000065765;Visiodent;SDT
FR0000065864;Sogeclair;SOG
FR0000065930;Foncière 7 Investissement;LEBL
FR0000065971;Graines Voltz;GRVO
FR0000066052;Avenir Telecom;AVT
FR0000066219;Indle Fin.Entrepr.;INFE
FR0000066482;Tipiak;TIPI
FR0000066540;Vm Materiaux;VMMA
FR0000066607;Lacroix Industries;LACR
FR0000066680;Videlio;VDLO
FR0000066722;Guillemot;GUI
FR0000071797;Infotel;INF
FR0000071854;Cottin Freres;COTT
FR0000072357;Huis Clos;HCL
FR0000072373;Egide;GID
FR0000072399;Belier;BELI
FR0000072456;Go Sport (Groupe);GSP
FR0000072563;Sodifrance;SOA
FR0000072597;It Link;ITL
FR0000072621;Ausy;OSI
FR0000072894;Cast;CAS
FR0000072969;Esr;ESRP
FR0000073793;Devoteam;DVT
FR0000073827;Aures Technologies;AURS
FR0000073843;ITS group;ITS
FR0000073975;Metrologic Group;MTG
FR0000074072;Bigben Interactive;BIG
FR0000074122;Sii;SII
FR0000074130;Nicox;COX
FR0000074197;Union Tech.Infor.;FPG
FR0000074247;Cameleon Software;CAM
FR0000074254;Bourse Direct;BSD
FR0000074759;Fleury Michon;FLE
FR0000075343;Euromedis Groupe;EMG
FR0000075392;Orapi;ORAP
FR0000075442;LDLC.com;LDL
FR0000075517;Soft Computing;SFT
FR0000075673;Le Tanneur;LTAN
FR0000075954;Riber;RIB
FR0000075988;Hi Media;HIM
FR0000076192;Bci Navigation;BNA
